72,72,98,72,72,72,72,72,72,97,72,72,98,72,72,72,72,72,72,72,72,97,72,72
98,72,72,72,72,72,72,72,72,72,72,97,72,72,72,72,72,97,72,72,72,72,72,72
72,72,97,72,72,72,72,98,72,72,72,72,72,72,97,72,72,72,98,72,72,97,72,72
72,72,72,72,72,97,72,72,72,72,72,72,72,98,72,72,72,72,72,72,98,72,72,97
72,72,72,72,72,72,72,72,98,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,98,72,72,72,72,72,72,72,72,72,72,72,72,72,97,72,72,72,72,72,72,72
72,72,72,72,72,72,98,72,72,72,97,72,98,72,72,72,72,72,72,72,72,97,72,72
97,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,98,72,72,72,72,72,72,72,72,98,72,72,98,72,72,98,72,72,72,72,72
72,72,72,72,72,72,97,72,72,98,72,72,72,72,72,72,72,72,72,72,72,72,72,98
72,72,72,72,72,72,72,72,72,72,72,97,72,72,72,72,97,72,72,72,72,72,72,72
72,98,72,72,72,72,72,72,72,72,72,72,72,98,72,72,72,72,72,72,97,72,72,72
72,72,97,72,72,72,98,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,97,72,72,72,72,98,72,72,72,72,72,72,98,72,72,72,72,72,72
98,72,72,72,72,72,72,72,72,72,72,72,72,97,72,72,72,72,72,72,72,98,72,72
72,72,72,72,98,72,72,72,72,72,72,72,72,72,72,98,72,72,72,97,72,72,72,72
72,72,72,72,72,72,72,72,98,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,98,97,72,72,72,97,72,72,72,72,98,72,72,72,72,97,72,72,72,72,72,97,98
