97	72	72	72	98	72	72	72	72	72	19	142	20	13	46	14	35	115	126	23	23	113	75	75	113	75	75	75	126	75	113	129	75	75	113	24	15	20	21	98	65	67
72	72	98	72	72	72	72	97	72	72	32	31	20	26	5	14	14	22	23	23	23	23	116	75	75	75	75	113	75	75	116	75	116	75	129	24	15	20	21	72	65	67
72	72	72	72	72	98	72	72	72	72	72	32	31	20	26	5	14	35	115	113	23	75	75	75	75	126	75	75	126	75	75	126	75	114	36	37	15	20	21	72	65	67
72	72	97	72	72	72	72	72	72	72	72	72	32	31	20	13	14	14	22	126	23	126	75	113	75	75	113	75	114	36	36	36	36	37	14	14	15	20	21	98	65	67
98	72	72	72	72	72	72	98	72	72	72	98	72	19	20	13	14	14	22	23	23	75	75	75	75	75	126	114	37	14	14	14	14	4	27	27	28	20	21	72	65	67
72	72	72	72	98	72	72	72	72	72	97	72	72	19	20	13	14	14	22	23	23	113	75	126	75	114	36	37	14	4	27	27	27	28	20	142	20	142	21	72	65	67
72	98	72	72	72	72	72	72	72	72	72	72	72	19	20	13	46	14	22	23	23	75	75	114	36	37	45	14	14	15	20	20	20	20	20	20	20	20	21	72	65	67
54	72	72	98	52	53	53	54	98	72	72	98	72	19	20	13	14	14	22	75	75	75	75	24	14	14	4	27	27	28	142	20	20	20	30	33	33	33	34	97	65	67
69	53	53	53	70	66	66	69	53	54	72	72	72	19	20	13	14	9	128	113	75	75	75	24	14	4	28	30	33	33	33	33	33	33	34	97	72	72	72	52	70	67
66	66	66	66	66	66	66	66	66	69	54	72	72	19	20	13	14	22	75	75	75	113	75	24	14	15	20	21	98	72	97	72	72	72	72	72	52	53	53	70	66	67
56	79	79	79	57	66	66	66	66	66	69	54	72	19	20	13	14	22	75	75	75	75	75	24	14	15	142	43	8	72	72	52	53	53	53	53	70	66	66	66	66	67
80	72	72	72	78	57	66	66	66	66	66	67	72	19	20	13	14	22	126	75	113	75	113	24	14	17	2	20	21	72	72	65	66	66	66	66	66	66	66	66	56	80
72	97	72	72	72	65	66	66	66	66	56	80	72	19	142	13	14	22	75	75	75	75	75	127	11	14	15	20	21	98	72	65	66	66	66	66	66	66	66	56	80	97
72	72	72	98	72	78	57	66	66	56	80	72	72	19	20	13	14	22	75	75	75	75	75	126	24	14	15	20	21	72	72	65	66	66	66	66	66	56	79	80	72	110
72	72	72	72	72	72	65	66	56	80	72	97	72	19	20	13	14	22	113	75	113	75	75	75	24	14	15	20	21	72	72	65	66	66	66	66	66	67	97	72	97	123
98	72	97	72	72	72	65	66	67	72	72	72	72	19	20	13	14	35	115	75	75	75	126	75	24	14	15	142	21	72	97	65	66	66	66	66	66	67	72	72	110	148
72	72	72	72	72	72	65	66	67	98	72	72	72	19	20	26	5	14	22	75	75	75	75	113	24	14	15	20	21	72	52	70	66	66	66	66	66	67	98	72	123	124
72	72	72	72	98	72	65	66	67	72	72	72	72	32	31	20	13	14	22	126	75	75	75	114	37	4	28	20	21	72	65	66	66	66	66	66	56	80	72	110	148	124
72	98	72	72	72	72	65	66	67	72	72	97	72	72	19	142	13	46	22	75	75	113	75	24	14	15	20	30	34	72	65	66	66	66	66	66	67	98	72	123	124	124
72	72	72	72	72	52	70	66	69	54	72	72	72	98	19	20	13	14	22	75	75	126	114	37	4	28	30	34	72	98	65	66	66	66	66	66	67	97	110	148	124	124
