-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,161,164,164,164,164,164,165,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,174,166,167,167,167,168,191,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,174,179,180,180,180,218,168,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,174,179,180,180,180,205,194,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,174,192,193,193,193,194,204,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,213,216,216,216,216,216,217,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
