72,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,72,98,72,72,72,72,97,72,72,72,72,65,66,66,66,67,72,72,97,72,72,72
98,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,72,72,97,72,72,72,72,98,97,72,72,78,57,66,56,80,72,72,72,72,97,72
72,78,79,57,66,66,66,66,66,66,66,66,66,66,66,66,66,67,97,72,72,72,72,72,72,72,72,72,98,72,65,66,67,72,98,72,72,72,72,72
97,72,98,65,66,66,66,66,66,66,66,66,66,66,66,66,56,80,72,72,72,72,97,72,72,72,72,72,72,97,65,66,67,72,72,97,72,72,72,72
72,72,72,78,57,66,66,66,66,66,66,66,66,66,66,66,67,72,72,72,72,72,72,72,72,97,98,72,72,72,65,66,67,72,72,72,72,97,98,72
72,98,72,72,65,66,66,66,66,66,66,66,66,66,66,56,80,72,72,98,72,72,72,72,72,72,72,72,72,72,65,66,67,97,72,72,72,72,72,72
72,72,97,72,65,66,66,66,66,66,66,66,66,66,66,67,97,72,72,72,97,72,72,72,97,72,72,97,72,72,78,79,80,72,72,72,72,72,72,97
72,72,72,72,78,57,66,66,66,66,66,56,79,79,79,80,72,98,72,72,98,72,72,72,72,72,72,72,98,72,72,72,72,72,72,98,97,72,72,72
98,72,97,98,72,65,66,66,66,56,79,80,72,98,72,72,72,72,98,72,72,72,72,98,72,72,72,72,97,72,72,72,72,97,72,72,72,72,72,72
72,72,72,72,72,78,79,79,79,80,72,72,72,72,97,72,72,72,72,72,72,72,97,72,72,72,97,72,72,72,72,72,72,72,72,72,72,98,72,72
72,97,72,72,97,72,72,72,72,72,72,98,72,72,72,98,97,72,72,98,72,72,72,72,97,72,72,72,72,72,98,72,72,97,72,72,97,72,72,72
72,72,72,98,72,72,72,72,72,72,97,72,72,97,72,72,72,72,72,72,72,72,72,98,72,98,72,72,97,72,97,72,72,72,72,72,72,72,72,97
97,72,72,72,72,98,72,72,98,72,72,72,72,98,72,72,72,72,72,72,72,97,98,72,72,72,98,72,98,72,72,72,52,53,53,53,54,72,72,98
72,98,72,97,72,72,72,97,72,72,72,98,72,72,72,72,98,72,72,98,72,72,72,97,72,72,72,72,72,52,53,53,70,66,66,66,69,53,54,72
72,72,72,72,72,72,72,98,72,72,72,72,97,72,72,72,72,72,97,72,72,72,72,98,72,72,52,53,53,70,66,66,66,66,66,66,66,66,69,53
53,54,72,98,72,72,72,72,97,72,72,72,72,72,72,72,72,72,72,72,98,72,97,72,72,52,70,66,66,66,66,66,66,66,66,66,66,66,66,66
66,67,97,72,72,98,97,72,72,98,72,72,72,98,97,72,72,97,72,72,97,72,72,72,52,70,66,66,66,66,66,66,66,66,66,66,66,66,66,66
79,80,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,98,72,72,98,72,72,72,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
97,72,98,72,97,98,72,72,72,72,98,72,72,72,72,98,72,72,97,72,72,72,98,97,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
72,97,72,72,72,97,72,72,72,72,97,72,72,72,97,72,72,72,72,98,72,97,72,72,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
