0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
2	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	2
0	1	0	0	3	4	4	4	4	4	4	4	4	4	4	5	0	0	2	0
0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	2	8	2	0	2	0	0
0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	2	8	2	0	2	0	0
0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0
0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2
0	0	0	2	0	0	0	2	2	0	0	1	0	1	0	0	2	0	0	2
2	0	2	0	0	0	0	0	1	0	0	2	1	0	2	2	0	0	0	1
