0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
2	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	2
0	1	0	0	3	4	4	4	4	4	4	4	4	4	4	5	0	0	2	0
0	1	0	0	6	7	7	7	7	7	7	7	13	7	7	8	0	0	0	0
0	0	0	0	6	7	13	7	7	7	7	7	7	7	12	8	2	0	2	0
0	1	0	0	6	7	7	7	7	7	7	7	13	7	7	8	0	0	0	0
0	0	0	0	6	7	7	7	7	7	7	7	7	7	7	7	7	7	12	7
0	0	2	0	6	7	7	7	7	7	12	7	7	7	7	7	7	7	7	7
0	1	0	0	6	7	7	7	7	7	7	7	13	7	7	8	0	0	0	0
0	0	0	0	6	7	13	7	7	7	7	7	7	7	12	8	2	0	2	0
0	1	0	0	6	7	7	7	7	7	7	7	13	7	7	8	0	0	0	0
0	0	0	0	9	10	10	10	10	7	7	10	10	10	10	11	2	0	0	2
0	0	0	2	0	0	0	2	2	7	7	1	0	1	0	0	2	0	0	2
2	0	2	0	0	0	0	0	1	7	7	2	1	0	2	2	0	0	0	1
